text,label,source_url
"Since January 2026, the EU's Carbon Border Adjustment Mechanism has required importers of electricity, cement, steel, aluminum, fertilizers, and hydrogen to purchase certificates covering the embedded carbon emissions of those goods.",CARBON_TAX,https://taxation-customs.ec.europa.eu/carbon-border-adjustment-mechanism_en
The EU Emissions Trading System caps total greenhouse gas emissions from covered power and industrial installations and lets companies buy or sell allowances to meet their individual targets.,CARBON_TAX,https://climate.ec.europa.eu/eu-action/eu-emissions-trading-system-eu-ets_en
Canada's federal carbon pricing backstop applies a rising per-tonne charge to fossil fuels in provinces that do not operate an equivalent provincial pricing system.,CARBON_TAX,https://www.canada.ca/en/environment-climate-change/services/climate-change/pricing-pollution-how-it-will-work.html
"Singapore's carbon tax applies to facilities emitting at least twenty-five thousand tonnes of greenhouse gases a year, with the per-tonne rate scheduled to keep rising through the rest of the decade.",CARBON_TAX,https://www.nccs.gov.sg/singapores-climate-action/mitigation-efforts/carbon-tax/
"California's cap-and-trade program sets a declining limit on emissions from large facilities and power imports, with covered entities surrendering allowances or offsets equal to their reported emissions.",CARBON_TAX,https://ww2.arb.ca.gov/our-work/programs/cap-and-trade-program
The Regional Greenhouse Gas Initiative requires power plants in participating Northeastern and Mid-Atlantic states to hold one tradable allowance for every ton of carbon dioxide they emit.,CARBON_TAX,https://www.rggi.org/
"Following its departure from the EU system, the United Kingdom now operates its own emissions trading scheme covering power generation, industry, and aviation.",CARBON_TAX,https://www.gov.uk/government/collections/uk-emissions-trading-scheme-uk-ets
Germany's national emissions trading system extends a carbon price to fuels used for heating and transport that fall outside the scope of the EU's industrial trading scheme.,CARBON_TAX,https://www.dehst.de/EN/national-emissions-trading/national-emissions-trading_node.html
Washington State's Climate Commitment Act caps emissions from the state's largest emitters and requires them to obtain allowances through quarterly auctions.,CARBON_TAX,https://ecology.wa.gov/Air-Climate/Climate-Commitment-Act
"South Africa's carbon tax applies a per-tonne levy to direct greenhouse gas emissions from fuel combustion, industrial processes, and fugitive sources above set thresholds.",CARBON_TAX,https://www.sars.gov.za/customs-and-excise/excise/environmental-levy-products/carbon-tax/
"Electricity is one of six product categories covered under the EU's carbon border mechanism, alongside cement, iron and steel, aluminum, fertilizers, and hydrogen.",CARBON_TAX,https://trade.ec.europa.eu/access-to-markets/en/news/carbon-border-adjustment-mechanism-cbam
"A second EU emissions trading system, intended to charge fuel suppliers for buildings and road transport emissions, extends carbon pricing beyond the original system's industrial scope.",CARBON_TAX,https://climate.ec.europa.eu/eu-action/eu-emissions-trading-system-eu-ets/eu-emissions-trading-system-buildings-road-transport-and-additional-sectors-ets2_en
"CBAM certificate prices are tied to the average auction price of allowances under the EU Emissions Trading System, minus any carbon price already paid in the country where the goods were produced.",CARBON_TAX,https://taxation-customs.ec.europa.eu/carbon-border-adjustment-mechanism_en
"Because data centers are large, continuous electricity consumers, a carbon price applied to grid electricity generation passes through directly to a facility's effective operating cost in jurisdictions that price carbon on power.",CARBON_TAX,https://www.iea.org/energy-system/buildings/data-centres-and-data-transmission-networks
Importers bringing more than fifty tonnes of CBAM-covered goods into the EU in a calendar year must register as an authorized declarant before continuing to import those goods.,CARBON_TAX,https://www.epa.ie/our-services/licensing/climate-change/eu-carbon-border-adjustment-mechanism/
New data center water permitting in Virginia increasingly requires use of reclaimed water and includes no-net-increase clauses limiting a facility's net freshwater withdrawal over time.,WATER_RESTRICTION,https://controlassociatesinc.com/blog/data-center-water-regulation-2026
"In parts of Arizona, new groundwater adequacy certificates have become difficult for hyperscale data center projects to obtain because of strain on already-stressed aquifers.",WATER_RESTRICTION,https://controlassociatesinc.com/blog/data-center-water-regulation-2026
"Clark County, Nevada has already limited the use of evaporative cooling systems by data centers in response to concerns about regional water consumption.",WATER_RESTRICTION,https://nevadacurrent.com/2026/05/27/nye-county-water-board-pushes-data-center-moratorium/
"The Nye County Water District board voted to recommend a moratorium on new data centers in the Pahrump Valley, citing the strain large facilities place on a critically over-appropriated aquifer.",WATER_RESTRICTION,https://nevadacurrent.com/2026/05/27/nye-county-water-board-pushes-data-center-moratorium/
"Several states have introduced general Clean Water Act discharge permits tailored specifically to data center cooling water, rather than relying on generic industrial permit categories.",WATER_RESTRICTION,https://controlassociatesinc.com/blog/data-center-water-regulation-2026
Large data centers above fifty megawatts in California and Minnesota are now expected to report their water consumption through public-facing dashboards.,WATER_RESTRICTION,https://controlassociatesinc.com/blog/data-center-water-regulation-2026
New York's data center development legislation creates new electricity and water utility rate classes for large facilities and requires an environmental impact review before new permits are issued.,WATER_RESTRICTION,https://www.nysenate.gov/newsroom/press-releases/2026/kristen-gonzalez/ny-state-senator-kristen-gonzalez-passes-data-center
"Seattle's city council adopted a temporary freeze on new large data center siting while the city studies impacts on the electrical grid, water usage, and utility rates.",WATER_RESTRICTION,https://council.seattle.gov/2026/06/09/city-council-passes-emergency-data-center-moratorium-and-policy-framework/
Florida's new data center law requires large electricity users to pay the full cost of their service and tightens the permitting process governing aquifer withdrawals.,WATER_RESTRICTION,https://www.datacenterbans.com/
"Minnesota created a standalone water permitting requirement specifically for data centers, separate from the state's general industrial water permitting process.",WATER_RESTRICTION,https://www.multistate.us/resources/state-data-center-policy-101
A planned data center expansion in Chile had part of its water-use permit revoked following community opposition over groundwater impacts in a drought-affected region.,WATER_RESTRICTION,https://controlassociatesinc.com/blog/data-center-water-regulation-2026
"The Netherlands has maintained restrictions on new large-scale data center development in parts of the country, citing pressure on land, water, and electricity grid capacity.",WATER_RESTRICTION,https://controlassociatesinc.com/blog/data-center-water-regulation-2026
"Under the Clean Water Act, facilities that discharge cooling water to surface waters must obtain a permit setting limits on pollutant concentration and discharge volume.",WATER_RESTRICTION,https://www.epa.gov/npdes
"To reduce demand on potable supplies, several new data center projects in Ohio, Iowa, and Virginia are being co-located next to municipal wastewater treatment plants to access reclaimed water directly.",WATER_RESTRICTION,https://controlassociatesinc.com/blog/data-center-water-regulation-2026
New Jersey's new data center framework requires facilities to report their power and water use and to negotiate community benefit agreements with host municipalities.,WATER_RESTRICTION,https://www.datacenterbans.com/
"China's Eastern and Western Data Hub strategy sets minimum power usage effectiveness requirements for new data centers, with Beijing requiring 1.4 or better and Shanghai requiring 1.3 or better.",RENEWABLE_MANDATE,https://www.iea.org/energy-system/buildings/data-centres-and-data-transmission-networks
Washington State now ties new large data center interconnection approvals to the facility's demonstrated progress toward the state's clean electricity deadlines.,RENEWABLE_MANDATE,https://www.multistate.us/insider/2026/4/14/federal-ai-data-center-policy-meets-resistance-from-state-lawmakers
"California's Renewables Portfolio Standard requires the state's electricity providers to source an increasing share of retail sales from eligible renewable resources, reaching sixty percent by 2030.",RENEWABLE_MANDATE,https://www.cpuc.ca.gov/regulatory-services/energy-divisions/energy-division/rps
New York's Climate Leadership and Community Protection Act requires the state's electricity supply to come entirely from zero-emission sources by 2040.,RENEWABLE_MANDATE,https://dec.ny.gov/environmental-protection/climate-change/climate-leadership-community-protection-act
The EU's recast Renewable Energy Directive raises the bloc-wide binding target for renewable energy's share of final consumption to forty-two and a half percent by 2030.,RENEWABLE_MANDATE,https://energy.ec.europa.eu/topics/renewable-energy/renewable-energy-directive-targets-and-rules/renewable-energy-targets_en
Singapore's Green Data Centre Roadmap sets efficiency and renewable energy expectations that new facilities must meet to qualify for limited grid capacity allocations.,RENEWABLE_MANDATE,https://www.imda.gov.sg/resources/press-releases-factsheets/green-data-centre-roadmap
Ireland has signaled that future data center grid connections in constrained regions may be conditioned on the facility securing or co-locating new renewable generation.,RENEWABLE_MANDATE,https://www.gov.ie/en/department-of-climate-energy-and-environment/
Some Chinese provinces require large data centers to source a minimum share of their electricity consumption from renewable power or equivalent green power certificates.,RENEWABLE_MANDATE,https://www.iea.org/energy-system/buildings/data-centres-and-data-transmission-networks
The EU's voluntary Code of Conduct for Data Centres encourages signatories to adopt best practices that increase the share of renewable energy used onsite or procured through power purchase agreements.,RENEWABLE_MANDATE,https://energy.ec.europa.eu/news/focus-data-centres-energy-hungry-challenge-2025-11-17_en
"The UK's Contracts for Difference scheme guarantees offshore wind and other low-carbon generators a fixed price for their electricity, underpinning much of the renewable capacity now serving rising data center demand.",RENEWABLE_MANDATE,https://www.gov.uk/government/publications/contracts-for-difference-cfd
The European Commission's forthcoming data centre energy efficiency package is expected to introduce minimum performance standards in addition to its existing reporting and rating obligations.,RENEWABLE_MANDATE,https://energy.ec.europa.eu/topics/energy-efficiency/energy-efficiency-targets-directive-and-rules/energy-efficiency-directive/energy-performance-data-centres_en
South Korea's Renewable Portfolio Standard requires large electricity generators to supply a rising minimum percentage of their output from renewable sources or purchase equivalent certificates.,RENEWABLE_MANDATE,https://www.iea.org/policies/renewable-portfolio-standard-rps
"Japan's non-fossil energy certificate market lets large electricity buyers, including data center operators, demonstrate the renewable share of their power purchases for compliance purposes.",RENEWABLE_MANDATE,https://www.meti.go.jp/english/policy/energy_environment/global_warming/index.html
"Australia's large-scale Renewable Energy Target requires liable electricity retailers to surrender a set number of certificates each year, sourced from accredited renewable generation.",RENEWABLE_MANDATE,https://cer.gov.au/schemes/renewable-energy-target
EU energy policy increasingly encourages data center operators to secure renewable power purchase agreements as a condition for accessing scarce grid connection capacity in congested regions.,RENEWABLE_MANDATE,https://energy.ec.europa.eu/topics/renewable-energy_en
The U.S. Securities and Exchange Commission has proposed rescinding in their entirety the 2024 climate-related disclosure rules that would have required public companies to report certain greenhouse gas emissions and climate risks.,REPORTING_REQUIREMENT,https://www.sec.gov/newsroom/press-releases/2026-49-sec-proposes-rescission-climate-related-disclosure-rules
"California's SB253 requires large companies doing business in the state to publicly disclose their Scope 1 and Scope 2 greenhouse gas emissions, with an initial reporting deadline in August 2026.",REPORTING_REQUIREMENT,https://eelp.law.harvard.edu/tracker/financial-regulation-climate-change-and-climate-related-risk-disclosure/
"A companion California law, SB261, requires covered companies to disclose their climate-related financial risks, though enforcement of that requirement is currently paused under a court-ordered stay.",REPORTING_REQUIREMENT,https://eelp.law.harvard.edu/tracker/financial-regulation-climate-change-and-climate-related-risk-disclosure/
"Following the EU's 2026 Sustainability Omnibus update, the Corporate Sustainability Reporting Directive's mandatory thresholds now apply only to companies with more than a thousand employees and over four hundred fifty million euros in net turnover.",REPORTING_REQUIREMENT,https://ecovadis.com/regulations/sec-climate-risk-disclosure-rule/
"Companies subject to the Corporate Sustainability Reporting Directive must report under a double materiality standard, covering both how climate change affects their own finances and how their operations affect the environment and society.",REPORTING_REQUIREMENT,https://ecovadis.com/regulations/sec-climate-risk-disclosure-rule/
"The EU's recast Energy Efficiency Directive requires data centers with installed capacity above five hundred kilowatts to report their total energy consumption, water use, renewable power share, and any waste heat recovered.",REPORTING_REQUIREMENT,https://www.iea.org/energy-system/buildings/data-centres-and-data-transmission-networks
"The European Commission is developing a common EU-wide rating scheme and label for data centers, drawing on the energy and sustainability data already collected under the bloc's reporting obligations.",REPORTING_REQUIREMENT,https://energy.ec.europa.eu/topics/energy-efficiency/energy-efficiency-targets-directive-and-rules/energy-efficiency-directive/energy-performance-data-centres_en
The International Sustainability Standards Board's IFRS S1 and S2 standards establish a global baseline for how companies disclose sustainability and climate-related risks alongside their financial statements.,REPORTING_REQUIREMENT,https://www.ifrs.org/groups/international-sustainability-standards-board/
The UK's Streamlined Energy and Carbon Reporting framework requires large unquoted companies to disclose their annual energy use and associated greenhouse gas emissions in their directors' reports.,REPORTING_REQUIREMENT,https://www.gov.uk/guidance/streamlined-energy-and-carbon-reporting-secr
"Many national disclosure frameworks now require reporting structured around the four pillars originally set out by the Task Force on Climate-related Financial Disclosures: governance, strategy, risk management, and metrics and targets.",REPORTING_REQUIREMENT,https://www.fsb-tcfd.org/
New Jersey's data center policy framework requires facilities to report their electricity and water consumption to state regulators as a condition of operating in the state.,REPORTING_REQUIREMENT,https://www.datacenterbans.com/
Australia's mandatory climate-related financial disclosure regime requires large entities to report their climate risks and greenhouse gas emissions in a dedicated sustainability report lodged with the corporate regulator.,REPORTING_REQUIREMENT,https://asic.gov.au/regulatory-resources/sustainable-finance/climate-related-financial-disclosure/
Litigation over the SEC's 2024 climate disclosure rule has been held in abeyance since the Commission notified the court it would no longer defend the rule in its current form.,REPORTING_REQUIREMENT,https://eelp.law.harvard.edu/tracker/financial-regulation-climate-change-and-climate-related-risk-disclosure/
